tarih,toplam_konut_kredisi_milyon_tl,aylik_net_konut_kredisi_akisi,konut_fiyat_endeksi,dolar_kuru,politika_faizi
2021-01-31,13927,13927.0,98.48729538881112,7.571276969645181,17.24562023816856
2021-02-28,16006,2079.0,106.2482926374232,7.95357948026826,17.723509415970053
2021-03-31,18356,2350.0,110.73165875383758,8.348760732532059,18.21692510703206
2021-04-30,22246,3890.0,112.93425999121784,8.731574039737302,18.711217672022517
2021-05-31,28395,6149.0,120.8407829975967,9.114450051884143,19.219512945026647
2021-06-30,36093,7698.0,119.69568942415586,9.541193052393641,19.726287606815536
2021-07-31,43739,7646.0,124.97950959458508,9.911130170898291,20.228782752700432
2021-08-31,46541,2802.0,129.84282327986247,10.29475559710359,20.732937993437364
2021-09-30,53646,7105.0,135.834198599732,10.677034536272805,21.228761192548426
2021-10-31,58446,4800.0,140.20211806483468,11.081873480896006,21.75128487993541
2021-11-30,64822,6376.0,146.16847528030394,11.487863288139348,22.249655712840145
2021-12-31,68501,3679.0,149.54335329827444,11.848513919085788,22.73232390238622
2022-01-31,13300,-55201.0,157.984111534126,12.264370978052424,23.236104167462145
2022-02-28,17199,3899.0,156.53380875269343,12.642303146491857,23.74777178281594
2022-03-31,20539,3340.0,162.64876441712536,12.981814359353807,24.220627997763664
2022-04-30,25499,4960.0,169.94578473710396,13.385870928428476,24.728980300438348
2022-05-31,29030,3531.0,170.61899684050948,13.769754961010197,25.23036058203345
2022-06-30,36799,7769.0,181.4029661947627,14.13359842285056,25.73066421348021
2022-07-31,41233,4434.0,180.7008878822876,14.557918157517479,26.232416335711754
2022-08-31,49020,7787.0,186.5928153052367,14.968832441208159,26.727767754835945
2022-09-30,52920,3900.0,190.42759998460275,15.361141733418597,27.255834482818905
2022-10-31,57383,4463.0,195.2672121943452,15.716471514389967,27.734746720029527
2022-11-30,64376,6993.0,201.7561884741289,16.124025212153505,28.257700956670963
2022-12-31,69589,5213.0,207.1694653348308,16.49661459119574,28.760581013564725
2023-01-31,14708,-54881.0,209.0447760762098,16.895412094897978,29.2611763304439
2023-02-28,17736,3028.0,217.8835548700693,17.316174899753612,29.720260601907693
2023-03-31,22387,4651.0,219.8407775081652,17.663411973914933,30.231436415543868
2023-04-30,28414,6027.0,222.83592165285447,18.062309010484846,30.726819427572096
2023-05-31,33297,4883.0,227.4671724518032,18.45934366478154,31.211472475467875
2023-06-30,39528,6231.0,233.88343174513,18.874274436868266,31.737769883744583
2023-07-31,45031,5503.0,238.9372277053857,19.216760409937148,32.235225541687875
2023-08-31,50808,5777.0,243.10402017418028,19.634355098703423,32.7446525789147
2023-09-30,55173,4365.0,244.421248893546,19.986565359637577,33.243299727599556
2023-10-31,62051,6878.0,250.21927255227365,20.421725875452395,33.73101231760688
2023-11-30,67818,5767.0,258.149154686452,20.789112711852095,34.24229053693451
2023-12-31,72833,5015.0,263.0108719651092,21.1777672148278,34.75924572975857
2024-01-31,14859,-57974.0,268.2076890326457,21.591347907034482,35.254575829095295
2024-02-29,20267,5408.0,267.90484954711286,21.949204740502072,35.74251924368134
2024-03-31,22269,2002.0,271.7022387842419,22.343724909645683,36.243557267271385
2024-04-30,25158,2889.0,280.7321864523346,22.708632768347233,36.75125268491596
2024-05-31,31871,6713.0,283.9518303452789,23.124329032392993,37.25536514261012
2024-06-30,36397,4526.0,287.85233327458974,23.50310611457352,37.76021485230729
2024-07-31,39824,3427.0,297.9153689691637,23.885508559819346,38.255605437632724
2024-08-31,43935,4111.0,297.3601096377093,24.286218231829174,38.772687595526534
2024-09-30,49188,5253.0,304.5778297375768,24.643883361523205,39.25408295570982
2024-10-31,55567,6379.0,305.07832301414606,25.079706010940466,39.776722006199684
2024-11-30,61463,5896.0,313.4688389792808,25.471917712316124,40.28471000436526
2024-12-31,68952,7489.0,314.7140307377523,25.88101310296988,40.7654118122255
2025-01-31,13998,-54954.0,322.91870447891097,26.235453352453067,41.272808685906924
2025-02-28,18990,4992.0,327.52762628612294,26.6445682015073,41.75801672030265
2025-03-31,24365,5375.0,327.63585571007394,26.98791241043239,42.26541402997258
2025-04-30,30314,5949.0,337.19456362754875,27.35618282977071,42.751859595664
2025-05-31,33120,2806.0,341.5576447986461,27.750283978636148,43.26594170458868
2025-06-30,37340,4220.0,345.47185035657805,28.186619108483264,43.74996991278
2025-07-31,39614,2274.0,349.448513210565,28.563427843703955,44.2661801696458
2025-08-31,43854,4240.0,353.9027211158,28.96289607974521,44.783185578049796
2025-09-30,50387,6533.0,357.3038868119565,29.34702815535701,45.26379393685591
2025-10-31,54125,3738.0,360.6780206785352,29.73438951922923,45.771516561842745
2025-11-30,60494,6369.0,364.28040368083134,30.093662944187166,46.24892358686138
2025-12-31,68198,7704.0,373.0460202219063,30.473465902082815,46.765035383020354
2026-01-31,11549,-56649.0,380.6762237770012,30.900556295704853,47.27558922544197
2026-02-28,14167,2618.0,380.7846548381235,31.26951354646777,47.76422971921026
2026-03-31,16184,2017.0,389.8177183174972,31.65311830377353,48.26006318757204
2026-04-30,18672,2488.0,390.7752656372932,32.03355961608163,48.760794974160056
2026-05-31,24091,5419.0,395.2325684531661,32.43948139686065,49.27551806157347
2026-06-30,28832,4741.0,400.0079151879752,32.81636175139146,49.73973595214398
