tarih,dolar_kuru,politika_faizi
2021-01-01,7.449671415301124,16.95914556844659
2021-01-02,7.398935284738315,17.049412931477455
2021-01-03,7.490292283520937,17.07977980299299
2021-01-04,7.590588130207104,16.96897395094905
2021-01-05,7.427631521949402,17.02766635329502
2021-01-06,7.440394878582251,17.043796122789796
2021-01-07,7.634491570683342,17.05170873327955
2021-01-08,7.566075476903327,17.156628278487418
2021-01-09,7.455146280249974,17.121913877508018
2021-01-10,7.5691114380575,17.134830090436964
2021-01-11,7.481275379273091,17.064313362337987
2021-01-12,7.493805888052745,17.21272803012462
2021-01-13,7.577336805421808,17.135444856927318
2021-01-14,7.374574268654858,17.216855056239137
2021-01-15,7.406172224724769,17.244177919679565
2021-01-16,7.535196969907409,17.31479265062942
2021-01-17,7.502904325653497,17.197769348937364
2021-01-18,7.648373885801901,17.128685409158113
2021-01-19,7.538908459845686,17.305304142242672
2021-01-20,7.5012422121197115,17.40258787213636
2021-01-21,7.80179917400083,17.39096027876362
2021-01-22,7.645418381915455,17.355946579936216
2021-01-23,7.687510547288334,17.33733244794671
2021-01-24,7.55104462305363,17.418721035116015
2021-01-25,7.65184288407789,17.34613824335476
2021-01-26,7.730135130356829,17.435084089863622
2021-01-27,7.616705228499046,17.452990357409977
2021-01-28,7.782136102931277,17.497177992882424
2021-01-29,7.697264146960263,17.598601147508862
2021-01-30,7.7409203558282496,17.496689591978082
2021-01-31,7.7226807844400716,17.468071260389603
2021-02-01,7.980840978969339,17.508691374121206
2021-02-02,7.807025152900086,17.437966942542186
2021-02-03,7.715365497333723,17.50813572928802
2021-02-04,7.916152796295066,17.53885791199265
2021-02-05,7.724575654943078,17.54956826205741
2021-02-06,7.8803080942960895,17.599841073611657
2021-02-07,7.67621643726307,17.567552981446692
2021-02-08,7.752126559616638,17.68117615948786
2021-02-09,7.917393002948827,17.641585627423375
2021-02-10,7.984315252216889,17.657560906176368
2021-02-11,7.940367137191779,17.658081834463488
2021-02-12,7.9244271956893915,17.698686752537913
2021-02-13,7.9186433692247205,17.74863277963418
2021-02-14,7.81366325460234,17.680472003671085
2021-02-15,7.902292747655046,17.707373338058698
2021-02-16,7.9409750062539715,17.74154350912946
2021-02-17,8.105512820827276,17.705886912450467
2021-02-18,8.046924142017664,17.748668213693882
2021-02-19,7.849020012379978,17.78227071105856
2021-02-20,8.070494139711164,17.866251861827262
2021-02-21,8.012339229585487,17.852111117297554
2021-02-22,7.9959169724519565,17.865113194471668
2021-02-23,8.137538516222074,17.914429245067524
2021-02-24,8.192232554443015,17.881466405594985
2021-02-25,8.195022328960475,17.924308885567232
2021-02-26,8.030734279582024,17.91607520348
2021-02-27,8.096496509174601,17.950955056652433
2021-02-28,8.173305804755511,17.924999654357705
2021-03-01,8.250495689182825,17.848647377380296
2021-03-02,8.117785467541493,17.980324925240634
2021-03-03,8.159898708515076,18.07462693821078
2021-03-04,8.080592823636287,18.066250949573693
2021-03-05,8.084367373484255,18.084660701747005
2021-03-06,8.298002332987178,18.114648011663594
2021-03-07,8.365135468460272,18.073725003177184
2021-03-08,8.235072168300592,18.095608557055225
2021-03-09,8.35538818510326,18.07131082496906
2021-03-10,8.303960212674255,18.102840424995257
2021-03-11,8.216046349564413,18.165883273341
2021-03-12,8.329459600431202,18.21173958576672
2021-03-13,8.45988541138239,18.161023698180056
2021-03-14,8.315260865680232,18.16193719677737
2021-03-15,8.488069550028062,18.200923706018603
2021-03-16,8.08239238889312,18.24740829357806
2021-03-17,8.43931886459505,18.16160586338076
2021-03-18,8.378595035836778,18.13544020458641
2021-03-19,8.352751308821809,18.239173057824523
2021-03-20,8.404589836377378,18.222114927059227
2021-03-21,8.209418582119174,18.274194186528405
2021-03-22,8.398969999650944,18.308662828525726
2021-03-23,8.469410160441305,18.30984007207128
2021-03-24,8.594250022619715,18.421576517301805
